entry_id	species	cell_type	gene_symbol	gene_exp	cell_subtype	sub_gene_symbol	sample_type	tissue_type	disease	pubmed_id	count	journal	sci_if	evidence	title	author	date	geo_id	
237	Human	Cytotoxic CD8 T cells			"KLRD1, KLRF1, GNLY, CTSW, KLRB1, KLRK1, NKG7, GZMH, SIGIRR, ZBTB16, RUNX3, APOL3, RORA, APBA2, WHDC1L1, DUSP2, GZMA"		Tissues	Lung	Non-small cell lung cancer	31033233	13	Cancer Med.	3.49	"Immune cell type_specific gene markers described in23, 31 were used to annotate immune cell populations (Table S13)"	Dissecting intratumoral myeloid cell plasticity by single cell RNA-seq	Qianqian Song	2019.06		
238	Human	Myeloid-derived suppressor cells (MDSCs)			"HLA-DRA, CD14, FUT4, FCGR3A, FCGR3B "		Tissues	Lung	Non-small cell lung cancer	31033233	13	Cancer Med.	3.49	"Immune cell type_specific gene markers described in23, 31 were used to annotate immune cell populations (Table S3)"	Dissecting intratumoral myeloid cell plasticity by single cell RNA-seq	Qianqian Song	2019.06		
239	Human	Macrophages		M1 Macrophages	"CCR7, NOS2, CD40 "		Tissues	Lung	Non-small cell lung cancer	31033233	13	Cancer Med.	3.49	"Immune cell type_specific gene markers described in23, 31 were used to annotate immune cell populations (Table S4)"	Dissecting intratumoral myeloid cell plasticity by single cell RNA-seq	Qianqian Song	2019.06		
242	Human	Dendritic cells	LAMP3				Tissues	"Tumor, Adjacent liver, Hepatic lymph node (LN), Blood, Ascites"	Hepatocellular carcinoma (HCC)	31675496	5	Cell	38.64	"the LAMP3+ DC, CD14+, and FCGR3A+ monocyte groups were only identified in SMART-seq2"	Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma	Qiming Zhang	2019.11		
243	Human	Monocytes	"CD14, FCGR3A"				Tissues	"Tumor, Adjacent liver, Hepatic lymph node (LN), Blood, Ascites"	Hepatocellular carcinoma (HCC)	31675496	5	Cell	38.64	"the LAMP3+ DC, CD14+, and FCGR3A+ monocyte groups were only identified in SMART-seq2"	Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma	Qiming Zhang	2019.11		
244	Human	regulatory T cells (Tregs)	"CD4, FOXP3, CD8, PDCD1"				Tissues		Hepatocellular carcinoma (HCC)	31675496	5	Cell	38.64	"Among T cells, CD4-c6-FOXP3 and CD8-c7-PDCD1, corresponding to regulatory T (Treg) cells"	Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma	Qiming Zhang	2019.11		
245	Human	Proliferative T cells	"CD8, MKI67"				Tissues		Hepatocellular carcinoma (HCC)	31675496	5	Cell	38.64	"CD8-c1-MKI67, representing proliferative T cells, was also enriched in tumors "	Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma	Qiming Zhang	2019.11		
246	Human	T cells	"CD4, CD8"				Tissues	"Tumor, Adjacent liver, Hepatic lymph node (LN), Blood, Ascites"	Hepatocellular carcinoma (HCC)	31675496	5	Cell	38.64	"CD4+ and CD8+ T cell subtypes (CD8+PDCD1+, CD8+GZMK+, and CD8+CX3CR1+ clusters) were readily separated."	Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma	Qiming Zhang	2019.11		
253	"Human,Mouse"	Tumor cells			Metastatic/slow cycling cells	SerpinE2 	Tissues	Melanoma tumor	Melanoma	31685822	5	Nat Commun	12.12	SerpinE2 has recently been characterized as a marker of slow cycling cells in Human melanoma that is most metastatic	A novel Mouse model demonstrates that oncogenic melanocyte stem cells engender melanoma resembling Human disease.	"Qi Sun, Wendy Lee."	2019.11	GSE113502	
254	"Human,Mouse"	Tumor cells			Melanoma	Axl	Tissues	Melanoma tumor	Melanoma	31685822	5	Nat Commun	12.12	"We found that most melanoma cells expressed Axl, a key marker gene for resistance to targeted therapy in Human melanoma, whose expression is mostly exclusive from Mitf+ cells, consistent with previous Human melanoma report "	A novel Mouse model demonstrates that oncogenic melanocyte stem cells engender melanoma resembling Human disease.	"Qi Sun, Wendy Lee."	2019.11	GSE113502	
282	Human	Tumor cells	"FXYD3, AGR2"				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31699795	23	Cancer Discov 	29.5	fig5a	Single-Cell RNA Sequencing Reveals Stromal Evolution into LRRC15 Myofibroblasts as a Determinant of Patient Response to Cancer Immunotherapy.	Claudia X Dominguez	2020.2	"GSE103322, GSE129455( download£©"	
283	Human	T cells	"TRAC, CD3D"				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31699795	23	Cancer Discov 	29.5	fig5a	Single-Cell RNA Sequencing Reveals Stromal Evolution into LRRC15 Myofibroblasts as a Determinant of Patient Response to Cancer Immunotherapy.	Claudia X Dominguez	2020.2	"GSE103322, GSE129455( download£©"	
284	Human	Macrophages/Monocytes	"HLA-DRA, C1QA"				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31699795	23	Cancer Discov 	29.5	fig5a	Single-Cell RNA Sequencing Reveals Stromal Evolution into LRRC15 Myofibroblasts as a Determinant of Patient Response to Cancer Immunotherapy.	Claudia X Dominguez	2020.2	"GSE103322, GSE129455( download£©"	
285	Human	Pericytes	"RGS5, PDGFRB"				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31699795	23	Cancer Discov 	29.5	fig5a	Single-Cell RNA Sequencing Reveals Stromal Evolution into LRRC15 Myofibroblasts as a Determinant of Patient Response to Cancer Immunotherapy.	Claudia X Dominguez	2020.2	"GSE103322, GSE129455( download£©"	
286	Human	Endothelial cells	"PLVAP, PECAM1"				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31699795	23	Cancer Discov 	29.5	fig5a	Single-Cell RNA Sequencing Reveals Stromal Evolution into LRRC15 Myofibroblasts as a Determinant of Patient Response to Cancer Immunotherapy.	Claudia X Dominguez	2020.2	"GSE103322, GSE129455( download£©"	
287	Human	Fibroblasts	"LUM, DCN"				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31699795	23	Cancer Discov 	29.5	fig5a	Single-Cell RNA Sequencing Reveals Stromal Evolution into LRRC15 Myofibroblasts as a Determinant of Patient Response to Cancer Immunotherapy.	Claudia X Dominguez	2020.2	"GSE103322, GSE129455( download£©"	
288	Human	Ductal cells	"FXYD2, CLU"				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31699795	23	Cancer Discov 	29.5	fig5a	Single-Cell RNA Sequencing Reveals Stromal Evolution into LRRC15 Myofibroblasts as a Determinant of Patient Response to Cancer Immunotherapy.	Claudia X Dominguez	2020.2	"GSE103322, GSE129455( download£©"	
289	Human	B cells	"CD79A, MZB1, IGHA1"				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31699795	23	Cancer Discov 	29.5	fig5a	Single-Cell RNA Sequencing Reveals Stromal Evolution into LRRC15 Myofibroblasts as a Determinant of Patient Response to Cancer Immunotherapy.	Claudia X Dominguez	2020.2	"GSE103322, GSE129455( download£©"	
290	Human	Endocrine cells	"NEUROD1, NKX2-2"				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31699795	23	Cancer Discov 	29.5	fig5a	Single-Cell RNA Sequencing Reveals Stromal Evolution into LRRC15 Myofibroblasts as a Determinant of Patient Response to Cancer Immunotherapy.	Claudia X Dominguez	2020.2	"GSE103322, GSE129455( download£©"	
291	Human	Mast cells 	"TPSB2, MS4A2"				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31699795	23	Cancer Discov 	29.5	fig5a	Single-Cell RNA Sequencing Reveals Stromal Evolution into LRRC15 Myofibroblasts as a Determinant of Patient Response to Cancer Immunotherapy.	Claudia X Dominguez	2020.2	"GSE103322, GSE129455( download£©"	
292	Human	T cells	CD3	CD56 (NCAM1)	activated T cells	"LTB, CXCL13, TNFRSF4, TRBC2, CD3E, TRBC1, CD3D, CD2, TRAC, CD7, TNFRSF18"	Tissues	Colons	Metastatic colon adenocarcinoma	31217164	2	Cancer Immunol Res	8.73	Fig3c	Intrinsic Resistance to Immune Checkpoint Blockade in a Mismatch Repair-Deficient Colorectal Cancer.	Gurjao Carino	2019.8		
293	Human	Natural killer (NK) cells	CD56 (NCAM2)	CD3	activated NK cells	"CTSW, HPOX, GNLY, GZMB, GZMA, CCL5, NKG7, IL32"	Tissues	Colons	Metastatic colon adenocarcinoma	31217164	2	Cancer Immunol Res	8.73	Fig3c	Intrinsic Resistance to Immune Checkpoint Blockade in a Mismatch Repair-Deficient Colorectal Cancer.	Gurjao Carino	2019.8		
304	Human	Natural killer (NK) cells	NKG7 				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31197017	6	Cancer Discov	29.5	"most of the NK cells (sub-cluster 4, marked by NKG7 expression) "	Cross-Species Single-Cell Analysis of Pancreatic Ductal Adenocarcinoma Reveals Antigen-Presenting Cancer-Associated Fibroblasts	Elyada Ela	2019.8	GSE129455	
305	Human	T cells	"CD3D, CD8A"				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31197017	6	Cancer Discov	29.5	"Cells in this subset expressed T cellspecific markers such as CD3D and CD8A, "	Cross-Species Single-Cell Analysis of Pancreatic Ductal Adenocarcinoma Reveals Antigen-Presenting Cancer-Associated Fibroblasts	Elyada Ela	2019.8	GSE129456	
306	Human	Fibroblasts	"COL1A1, FAP, VIM"		CAFs	PDGFRA	Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31197017	6	Cancer Discov	29.5	"Common fibroblast markers such as collagen type I alpha 1 chain (COL1A1), fibroblast activation protein alpha (FAP) and the mesenchymal cell marker vimentin (VIM) were expressed in both CAF subpopulations, confirming their fibroblast identity. Although Platelet Derived Growth Factor Receptor Alpha (PDGFRA) is commonly used as a CAF marker in different settings, we found that it is predominantly expressed in iCAFs (Fig. 3D). "	Cross-Species Single-Cell Analysis of Pancreatic Ductal Adenocarcinoma Reveals Antigen-Presenting Cancer-Associated Fibroblasts	Elyada Ela	2019.8	GSE129457	
307	Human	Fibroblasts	"COL1A2, FAP, VIM"		iCAFs	"IL6, IL8, CXCL1, CXCL2, CCL2, CXCL12, CFD, LM, DPT"	Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31197017	6	Cancer Discov	29.5	"In accordance with our previous iCAF and myCAF characterization (16), sub-cluster 1 had enriched expression of Interleukin 6 (IL6), Interleukin 8 (IL8) and chemokines such as CXCL1, CXCL2, CCL2, and CXCL12, and was therefore identified as iCAFs Our analysis enabled the identification of new marker genes for each CAF subtype. Strong expression of complement factor D (CFD) and matrix proteins such as lamin A/C (LMNA) and dermatopontin (DPT) marked iCAFs"	Cross-Species Single-Cell Analysis of Pancreatic Ductal Adenocarcinoma Reveals Antigen-Presenting Cancer-Associated Fibroblasts	Elyada Ela	2019.8	GSE129458	
308	Human	Fibroblasts	"COL1A3, FAP, VIM"		myCAFs	"ACTA2, TAGLN, MYL9, TPM1, TPM2, MMP11, POSTN, HOPX"	Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31197017	6	Cancer Discov	29.5	"Sub-cluster 2 was identified as myCAFs because it expressed high levels of _SMA (ACTA2) myCAF markers included the contractile proteins transgelin (TAGLN), the myosin light chain 9 (MYL9), tropomyosins 1 and 2 (TPM1, TPM2), the ECM modulators matrix metallopeptidase 11 (MMP11) and periostin (POSTN), and the homeobox transcription factor HOPX."	Cross-Species Single-Cell Analysis of Pancreatic Ductal Adenocarcinoma Reveals Antigen-Presenting Cancer-Associated Fibroblasts	Elyada Ela	2019.8	GSE129459	
309	Human	Fibroblasts	"COL1A4, FAP, VIM"		apCAFs	"H2-Aa, H2-Ab1, Cd74"	Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	31197017	6	Cancer Discov	29.5	"Examples of these genes are histocompatibility 2, class II antigen A, alpha (H2-Aa) and beta 1 (H2-Ab1), encoding the alpha and beta chains of MHC class II in C57BL/6 Mouse, and Cd74, In addition to MHC class II-related genes, apCAFs expressed other unique markers such as Serum Amyloid A3 (Saa3), that was implicated as a protumorigenic factor in pancreatic CAFs (57) and Secretory Leukocyte Peptidase Inhibitor (Slpi), which was previously identified as a pro-inflammatory gene in dysplastic skin fibroblasts encoding the invariant chain. We therefore named these cells ¡°antigen presenting CAFs¡± (apCAFs)."	Cross-Species Single-Cell Analysis of Pancreatic Ductal Adenocarcinoma Reveals Antigen-Presenting Cancer-Associated Fibroblasts	Elyada Ela	2019.8	GSE129460	
310	Human	Macrophages	"CD14, AIF1, FCER1G, FCGR3A, TYROBP, CSF1R"				Tissues	Brain	Glioblastoma	31327527	3	Cell 	38.64	" CD14, AIF1, FCER1G, FCGR3A, TYROBP, CSF1R. For T cells"	" An Integrative Model of Cellular States, Plasticity, and Genetics for Glioblastoma"	Cyril Neftel	2019.8	GSE131928	
311	Human	T cells 	"CD2, CD3D, CD3E, CD3G"				Tissues	Brain	Glioblastoma	31327527	3	Cell 	38.64	" CD14, AIF1, FCER1G, FCGR3A, TYROBP, CSF1R. For T cells"	" An Integrative Model of Cellular States, Plasticity, and Genetics for Glioblastoma"	Cyril Neftel	2019.8	GSE131928	
312	Human	Oligodendrocytes	"MBP, TF, PLP1, MAG, MOG, CLDN11 "				Tissues	Brain	Glioblastoma	31327527	3	Cell 	38.64	" CD14, AIF1, FCER1G, FCGR3A, TYROBP, CSF1R. For T cells"	" An Integrative Model of Cellular States, Plasticity, and Genetics for Glioblastoma"	Cyril Neftel	2019.8	GSE131928	
313	Human	CD8 T cells	CD8A				Tissues	Colorectum	Colorectal cancer	31270164	7	Gut	19.82	"Fig1D, Fig1E"	High-dimensional cytometric analysis of colorectal cancer reveals novel mediators of antitumour immunity	natasja l de Vries	2019.7		
314	Human	B cells	MS4A1				Tissues	Colorectum	Colorectal cancer	31270164	7	Gut	19.82	"Fig1D, Fig1E"	High-dimensional cytometric analysis of colorectal cancer reveals novel mediators of antitumour immunity	natasja l de Vries	2019.7		
315	Human	CD4 T cells	CD4				Tissues	Colorectum	Colorectal cancer	31270164	7	Gut	19.82	"Fig1D, Fig1E"	High-dimensional cytometric analysis of colorectal cancer reveals novel mediators of antitumour immunity	natasja l de Vries	2019.7		
316	Human	Proliferating cells	CDK1				Tissues	Colorectum	Colorectal cancer	31270164	7	Gut	19.82	"Fig1D, Fig1E"	High-dimensional cytometric analysis of colorectal cancer reveals novel mediators of antitumour immunity	natasja l de Vries	2019.7		
317	Human	Tumor cells	EPCAM				Tissues	Colorectum	Colorectal cancer	31270164	7	Gut	19.82	"Fig1D, Fig1E"	High-dimensional cytometric analysis of colorectal cancer reveals novel mediators of antitumour immunity	natasja l de Vries	2019.7		
318	Human	Myeloid cells	CD14				Tissues	Colorectum	Colorectal cancer	31270164	7	Gut	19.82	"Fig1D, Fig1E"	High-dimensional cytometric analysis of colorectal cancer reveals novel mediators of antitumour immunity	natasja l de Vries	2019.7		
319	Human	Plasma cells	MZB1				Tissues	Colorectum	Colorectal cancer	31270164	7	Gut	19.82	"Fig1D, Fig1E"	High-dimensional cytometric analysis of colorectal cancer reveals novel mediators of antitumour immunity	natasja l de Vries	2019.7		
346	"Human,Mouse"	Epithelial cells 	L1CAM				Tissues	Colons	Colorectal cancer	32656539	2	Nat Cancer		"L1CAM is not expressed in the homeostatic intestinal epithelium, but is induced and required for epithelial regeneration following colitis and in CRC organoid growth."	L1CAM defines the regenerative origin of metastasis-initiating cells in colorectal cancer	Karuna Ganesh et al	2020.1	"GSE112555, GSE117783"	
347	"Human,Mouse"	Stem cells	LGR5				Tissues	Colons	Colorectal cancer	32656539	2	Nat Cancer		"The expression of L1CAM by cells capable of organoid generation was reminiscent of LGR5, a canonical marker of homeostatic and adenoma-forming intestinal stem cells"	L1CAM defines the regenerative origin of metastasis-initiating cells in colorectal cancer	Karuna Ganesh et al	2020.1	"GSE112555, GSE117783"	
348	Human	Macrophages	CD68				Tissues	Biliary	Cholangiocarcinoma	32663198	6	The Journal of Clinical Investigation	11.86	we assessed PD-L1 expression on macrophages and tumor cells in resected Human CCA specimens. Using costaining for PD-L1 plus CD68 (a macrophage marker) and PD-L1 plus cytokeratin-19 (CK-19) (a CCA marker)	Targeting tumor-associated macrophages and granulocytic myeloid-derived suppressor cells augments PD-1 blockade in cholangiocarcinoma	Emilien Loeuillard	2020.9	GSE125449	
349	Human	Tumor cells			Cholangiocarcinoma	CK19	Tissues	Biliary	Cholangiocarcinoma	32663198	6	The Journal of Clinical Investigation	11.86	we assessed PD-L1 expression on macrophages and tumor cells in resected Human CCA specimens. Using costaining for PD-L1 plus CD68 (a macrophage marker) and PD-L1 plus cytokeratin-19 (CK-20) (a CCA marker)	Targeting tumor-associated macrophages and granulocytic myeloid-derived suppressor cells augments PD-2 blockade in cholangiocarcinoma	Emilien Loeuillard	2020.9	GSE125449	
350	Human	Monocytes	CD14				Tissues	Biliary	Cholangiocarcinoma	32663198	6	The Journal of Clinical Investigation	11.86	"Left panel shows pan-keratin (green), a CCA marker, and CD45 (red), a leukocyte marker. Right panel shows CD14 (yellow), a monocyte marker; CD68 (green), a macrophage marker; CD8 (red), a CTL marker; CD11b-CD15 (blue), G-MDSC markers. "	Targeting tumor-associated macrophages and granulocytic myeloid-derived suppressor cells augments PD-3 blockade in cholangiocarcinoma	Emilien Loeuillard	2020.9	GSE125449	
351	Human	Leukocytes	CD45				Tissues	Biliary	Cholangiocarcinoma	32663198	6	The Journal of Clinical Investigation	11.86	"Left panel shows pan-keratin (green), a CCA marker, and CD45 (red), a leukocyte marker. Right panel shows CD14 (yellow), a monocyte marker; CD68 (green), a macrophage marker; CD8 (red), a CTL marker; CD11b-CD16 (blue), G-MDSC markers."	Targeting tumor-associated macrophages and granulocytic myeloid-derived suppressor cells augments PD-4 blockade in cholangiocarcinoma	Emilien Loeuillard	2020.9	GSE125449	
352	Human	Cytotoxic CD8 T cells	CD8				Tissues	Biliary	Cholangiocarcinoma	32663198	6	The Journal of Clinical Investigation	11.86	"Left panel shows pan-keratin (green), a CCA marker, and CD45 (red), a leukocyte marker. Right panel shows CD14 (yellow), a monocyte marker; CD68 (green), a macrophage marker; CD8 (red), a CTL marker; CD11b-CD17 (blue), G-MDSC markers."	Targeting tumor-associated macrophages and granulocytic myeloid-derived suppressor cells augments PD-5 blockade in cholangiocarcinoma	Emilien Loeuillard	2020.9	GSE125449	
353	Human	Myeloid-derived suppressor cells (MDSCs)			granulocytic myeloid-derived suppressor cells (G-MDSCs)	"CD11b, CD15"	Tissues	Biliary	Cholangiocarcinoma	32663198	6	The Journal of Clinical Investigation	11.86	"Left panel shows pan-keratin (green), a CCA marker, and CD45 (red), a leukocyte marker. Right panel shows CD14 (yellow), a monocyte marker; CD68 (green), a macrophage marker; CD8 (red), a CTL marker; CD11b-CD18 (blue), G-MDSC markers."	Targeting tumor-associated macrophages and granulocytic myeloid-derived suppressor cells augments PD-6 blockade in cholangiocarcinoma	Emilien Loeuillard	2020.9	GSE125449	
356	Human	Myeloid cells	CD73		CD3+ T cell	CD3	Tissues	Brain	Glioblastoma	31873309	3	Nat Med.	36.13	which 4 were CD3+ T cell clusters and 10 were CD3_CD68+ myeloid cell clusters	Immune profiling of Human tumors identifies CD73 as a combinatorial target in glioblastoma	"Goswami, S."	2020	PRJNA588461	
357	Human	Myeloid cells	CD73		CD3- CD68+ myeloid cell	CD68	Tissues	Brain	Glioblastoma	31873309	3	Nat Med.	36.13	which 4 were CD3+ T cell clusters and 10 were CD3_CD68+ myeloid cell clusters	Immune profiling of Human tumors identifies CD73 as a combinatorial target in glioblastoma	"Goswami, S."	2020	PRJNA588461	
358	Human	Myeloid cells	CD73		CD73hi macrophages	"CCR5, CCR2, ITGAV/ITGB5 and CSF1R"	Tissues	Brain	Glioblastoma	31873309	3	Nat Med.	36.13	"CD73hi macrophages were also found to express CCR5, CCR2, ITGAV/ITGB5 and CSF1R"	Immune profiling of Human tumors identifies CD73 as a combinatorial target in glioblastoma	"Goswami, S."	2020	PRJNA588461	
359	Human	Oligodendroglial precursors	VGF				Tissues	Brain	Glioblastoma	31901251	3	Cell Stem Cell.	20.86	"Only VGF, a secreted neuropeptide that promotes survivaland growth was substantially restricted, with the majority of its expression in OPCs"		Bhaduri	2021	"PRJNA579593, SRP132816"	
360	Human	perivascular Glioblastoma Stem cells (GSC)	CD109				Tissues	Brain	Glioblastoma	31901251	3	Cell Stem Cell.	20.86	"CD109, a marker of perivascular GSCs"	Outer Radial Glia-Like Cancer Stem Cells Contribute to Heterogeneity of Glioblastoma	Bhaduri	2021	"PRJNA579593, SRP132816"	
361	Human	Progenitor-like cells	"CD133, SOX2, NES"				Tissues	Brain	Glioblastoma	31901251				"We noted that although distinct clusters of progenitor-like cell types including OPCs, radial glia, and intermediate progenitor cells were present in our analysis, progenitor markers such as SOX2 and NES were expressed broadly (Fig 2A)"	Outer Radial Glia-Like Cancer Stem Cells Contribute to Heterogeneity of Glioblastoma	Bhaduri	2021	"PRJNA579593, SRP132816"	
362	Human	Radial glia cells (RGCs)	FABP7				Tissues	Brain	Glioblastoma	31901251	3	Cell Stem Cell.	20.86	FABP7 (a marker of radial glia) expressing cells have been identified in glioblastoma.	Outer Radial Glia-Like Cancer Stem Cells Contribute to Heterogeneity of Glioblastoma	Bhaduri	2021	"PRJNA579593, SRP132816"	
370	Human	Pancreatic ductal cells	KRT19					PDAC tumors	Pancreatic ductal adenocarcinoma (PDAC)	31932730	9	Nature Biotechnology	31.86	KRT19¡ªa marker for both malignant and nonmalignant pancreatic ductal cells	Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas	Reuben Moncada	2020	GSE111672	
371	Human	Tumor cells			Cancer cells cluster 1	TM4SF1		PDAC tumors	Pancreatic ductal adenocarcinoma (PDAC)	31932730	9	Nature Biotechnology	31.86	"Note specificity of TM4SF1 expression for PDAC-A cancer cluster 1, "	Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas	Reuben Moncada	2020	GSE111672	
372	Human	Tumor cells			Cancer cells cluster 2	S100A4		PDAC tumors	Pancreatic ductal adenocarcinoma (PDAC)	31932730	9	Nature Biotechnology	31.86	S100A4 expression for PDAC-A cancer cluster 2.	Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas	Reuben Moncada	2020	GSE111672	
373	Human	Ductal cells			Ductal subpopulation 1	"APOL1, ERO1A, CA9"		PDAC tumors	Pancreatic ductal adenocarcinoma (PDAC)	31932730	9	Nature Biotechnology	31.86	a ductal population expressing APOL1 and hypoxia-response-related genes including ERO1A (ref. 42) and CA9 (ref. 43)	Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas	Reuben Moncada	2020	GSE111672	
374	Human	Ductal cells			Ductal subpopulation 2	"TFF1, TFF2, TFF3"		PDAC tumors	Pancreatic ductal adenocarcinoma (PDAC)	31932730	9	Nature Biotechnology	31.86	"a terminal ductal population expressing TFF1, TFF2 and TFF3 (ref. 44);"	Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas	Reuben Moncada	2020	GSE111672	
375	Human	Ductal cells			Ductal subpopulation 3	"CRISP3, CFTR"		PDAC tumors	Pancreatic ductal adenocarcinoma (PDAC)	31932730	9	Nature Biotechnology		a centroacinar ductal population expressing CRISP3 and CFTR (ref. 44);	Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas	Reuben Moncada	2021	GSE111672	
376	Human	Ductal cells			Ductal subpopulation 4	"CD74, HLA-DPA1, HLA-DQA2, HLA-DRA, HLA-DRB1 , HLA-DRB5 , C1S, C4A, C4B, CFB, CFH"		PDAC tumors	Pancreatic ductal adenocarcinoma (PDAC)	31932730	9	Nature Biotechnology		"and antigen-presenting ductal cells expressing major histocompatibility complex (MHC) class II genes CD74, HLA-DPA1, HLA-DQA2, HLA-DRA, HLA-DRB1 and HLA-DRB5 and complement pathway components C1S, C4A, C4B, CFB and CFH"	Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas	Reuben Moncada	2022	GSE111672	
377	Human	Macrophages			Macrophages A	IL1B		PDAC tumors	Pancreatic ductal adenocarcinoma (PDAC)	31932730	9	Nature Biotechnology		"the PDAC-A macrophages comprised two subpopulations, one of which expressed IL1B corresponding to an inflammatory M1 state, and the other resembling the M2 alternatively activated state based on its expression of CD163 and MS4A4A (ref. 48) (Supplementary Fig. 7a)."	Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas	Reuben Moncada	2020	GSE111672	
378	Human	Macrophages			Macrophages B	CD163 and MS4A4A		PDAC tumors	Pancreatic ductal adenocarcinoma (PDAC)	31932730	9	Nature Biotechnology		"the PDAC-A macrophages comprised two subpopulations, one of which expressed IL1B corresponding to an inflammatory M1 state, and the other resembling the M2 alternatively activated state based on its expression of CD163 and MS4A4A (ref. 48) (Supplementary Fig. 7a)."	Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas	Reuben Moncada	2020	GSE111672	
407	Human	Tumor cells	EpCAM				Tissues	Lung	Non-small cell lung cancer	31935369	1	Cancer Cell.	26.6	Viable EpCAM+ tumor cells were isolated via FACS Melody instrument (BD Biosciences) according to gating schema (Figure S6A).	Treatment-Induced Tumor Dormancy through YAP-Mediated Transcriptional Reprogramming of the Apoptotic Pathway	Kari J Kurppa	2020.2	GSE131604	
408	Human	Radial glia cells (RGCs)	"HOPX, IL6ST, LIFR, BLBP"				Tissues	Brain	Glioblastoma	32004492	1	Stem Cell Reports	6.03	"Figure 3 (C) Expression distribution of RG markers (HOPX, IL6ST, LIFR, and BLBP) are shown for individual tumors."	Adult Human Glioblastomas Harbor Radial Glia-like Cells 	Rong Wang	2020.2	GSE139448	
409	Human	Exhausted CD8 T cells	"PD-1, CTLA4, LAG3, TIGIT"				Tissues	Stomach	Gastric cancer	32039830	1	Aging (Albany NY)	4.83	"CD8+ exhausted T cells are highly expressed on the surface of some inhibitory molecules, such as PD-1, CTLA4, LAG3 (lymphocyte-activation gene-3), and TIGIT (T cell immunoreceptor with Ig and ITIM domains). "	Single-cell RNA sequencing of immune cells in gastric cancer patients	Kai Fu	2020.2		
410	Human	T cells	CORO1A¡¢CD52¡¢CD3D¡¢ITM2A¡¢HOPX¡¢CCL4¡¢GZMA¡¢CCL5¡¢CXCL13¡¢CCL3				Tissues	Liver	Hepatocellular carcinoma (HCC)	31966074	6	Oncol Lett	2.31	Supplementary_Data.PDF	Tracking the important role of JUNB in hepatocellular carcinoma by single-cell sequencing analysis 	Peng Yan	2020.2	GSE103867	
411	Human	B cells	"MZB1, CD79A, IGJ, DERL3, IGLL5, HERPUD1, SSR4, XBP1, ITM2C, FKBP11"				Tissues	Liver	Hepatocellular carcinoma (HCC)	31966074	6	Oncol Lett	2.31	Supplementary_Data.PDF	Tracking the important role of JUNB in hepatocellular carcinoma by single-cell sequencing analysis 	Peng Yan	2020.2	GSE103867	
412	Human	Monocytes	"S100A8, CST3, TYROBP, S100A6, LYZ, S100A12, S100A4, MNDA, AIF1, CSTA, SERPINA1, FCN1, LST1, S100A9, FCER1G, CTSS, CD14, VCAN, GRN, PSAP, CCL3"				Blood	PBMC	Normal	31966074	6	Oncol Lett	2.31	Supplementary_Data.PDF	Tracking the important role of JUNB in hepatocellular carcinoma by single-cell sequencing analysis 	Peng Yan	2020.2	GSE111360	
