entry_id	species	cell_type	gene_symbol	gene_exp	cell_subtype	sub_gene_symbol	sample_type	tissue_type	disease	pubmed_id	count	journal	sci_if	evidence	title	author	date	geo_id
1434	Mouse	Alveolar cells	Creb3l2				Tissues	Mammary Gland	Mammary gland cancer	30089273	7	Cell Rep	8.11	"Each major adult cell type was also characterized by certain repressed regulons, such as Ehf for basal, Creb3l2 for alveolar, and Atf4, Cebpd, Cebpb, and YY1 for ER+ luminal cells"	Single-Cell Transcriptomes Distinguish Stem Cell State Changes and Lineage Specification Programs in Early Mammary Gland Development	Rajshekhar R. Giraddi	2018.7	GSE111113
1435	Mouse	Luminal cells	"Atf4, Cebpd, Cebpb, Yy1"		ER+ luminal cells		Tissues	Mammary Gland	Mammary gland cancer	30089273	7	Cell Rep	8.11	"Each major adult cell type was also characterized by certain repressed regulons, such as Ehf for basal, Creb3l2 for alveolar, and Atf4, Cebpd, Cebpb, and YY1 for ER+ luminal cells"	Single-Cell Transcriptomes Distinguish Stem Cell State Changes and Lineage Specification Programs in Early Mammary Gland Development	Rajshekhar R. Giraddi	2018.7	GSE111113
1440	Mouse	MEFs	"Prrx1, Twist2, Zeb2, Thy1, Fbn1"				Tissues	Eymbros	Normal	29937202	6	Cell Stem Cell	20.86	Expression of genes in 4 different categories at the indicated time points.	Single-Cell RNA-Seq Reveals Dynamic Early Embryonic-like Programs during Chemical Reprogramming	Zhao	2018.7	GSE45719
1441	Mouse	reprogrammed cells in stage I	"Gata4, Gata6, Sox17, Foxa2, Epcam, Epcam"				Tissues	Eymbros	Normal	29937202	6	Cell Stem Cell	20.86	Expression of genes in 4 different categories at the indicated time points.	Single-Cell RNA-Seq Reveals Dynamic Early Embryonic-like Programs during Chemical Reprogramming	Zhao	2018.7	GSE45719
1442	Mouse	XEN-like cells	"Sox17, Sall4, Gata4, Gata6"				Tissues	Eymbros	Normal	29937202	6	Cell Stem Cell	20.86	Expression of genes in 4 different categories at the indicated time points.	Single-Cell RNA-Seq Reveals Dynamic Early Embryonic-like Programs during Chemical Reprogramming	Zhao	2018.7	GSE45719
1443	Mouse	further reprogrammed cells in stage II and III	"Zscan4, Tcstv1"				Tissues	Eymbros	Normal	29937202	6	Cell Stem Cell	20.86	"unique cell cluster was identified in stages II and III, accounting for 4% of the whole population around the end of stage II (Figures 2F and S2F). This cluster was marked by the expression of genes including Zscan4 family members and Tcstv1 albeit at varied levels"	Single-Cell RNA-Seq Reveals Dynamic Early Embryonic-like Programs during Chemical Reprogramming	Zhao	2018.7	GSE45719
1444	Mouse	CiPSCs	"Nanog, Sox17"				Tissues	Eymbros	Normal	29937202	6	Cell Stem Cell	20.86	"Nanog and Sox17 regulons were predominantly presented in CiPSCs and failed reprogrammed cells, respectively"	Single-Cell RNA-Seq Reveals Dynamic Early Embryonic-like Programs during Chemical Reprogramming	Zhao	2018.7	GSE45719
1445	Mouse	Ci2C-like cells	"Zscan4, Oct4, Tcstv1, Dppa"				Tissues	Eymbros	Normal	29937202	6	Cell Stem Cell	20.86	"2C genes Zscan4 and Tcstv1, whose knockdown impaired CiPSC formation, "	Single-Cell RNA-Seq Reveals Dynamic Early Embryonic-like Programs during Chemical Reprogramming	Zhao	2018.7	GSE45719
1456	Mouse	Maturing neutrophils	"Mmp9, Srgn, Cxcr2"					BMC	Normal	29921301	30	Genome Biology	10.81	In the context of inDrop Mouse pancreatic cells [15] (Additional file 1	dropEst:pipeline for accurate estimation of molecular counts in droplet-based single-cell RNA-seq experiments	Petukhov et al	2018.7	GSE65525
1457	Mouse	Maturing macrophages	"Cd14, Ly6c2"					BMC	Normal	29921301	30	Genome Biology	10.81	In the context of inDrop Mouse pancreatic cells [15] (Additional file 1	dropEst:pipeline for accurate estimation of molecular counts in droplet-based single-cell RNA-seq experiments	Petukhov et al	2018.7	GSE65525
1458	Mouse	B cells	"Cd79a, Cd79b"		"B cells, mature"	"Cd74, Cd83"		BMC	Normal	29921301	30	Genome Biology	10.81	In the context of inDrop Mouse pancreatic cells [15] (Additional file 1	dropEst:pipeline for accurate estimation of molecular counts in droplet-based single-cell RNA-seq experiments	Petukhov et al	2018.7	GSE65525
1459	Mouse	B cells	"Cd79a, Cd79b"		"B cells, immature"	Vpreb1		BMC	Normal	29921301	30	Genome Biology	10.81	In the context of inDrop Mouse pancreatic cells [15] (Additional file 1	dropEst:pipeline for accurate estimation of molecular counts in droplet-based single-cell RNA-seq experiments	Petukhov et al	2018.7	GSE65525
1460	Mouse	B cells	"Cd79a, Cd79b"		pre-B cells	Vpreb3		BMC	Normal	29921301	30	Genome Biology	10.81	In the context of inDrop Mouse pancreatic cells [15] (Additional file 1	dropEst:pipeline for accurate estimation of molecular counts in droplet-based single-cell RNA-seq experiments	Petukhov et al	2018.7	GSE65525
1461	Mouse	Progenitors	"Cd34, Kit"					BMC	Normal	29921301	30	Genome Biology	10.81	In the context of inDrop Mouse pancreatic cells [15] (Additional file 1	dropEst:pipeline for accurate estimation of molecular counts in droplet-based single-cell RNA-seq experiments	Petukhov et al	2018.7	GSE65525
1462	Mouse	Natural killer (NK) cells	"Nkg7, Il2rb, Thy1"					BMC	Normal	29921301	30	Genome Biology	10.81	In the context of inDrop Mouse pancreatic cells [15] (Additional file 1	dropEst:pipeline for accurate estimation of molecular counts in droplet-based single-cell RNA-seq experiments	Petukhov et al	2018.7	GSE65525
1488	Mouse	Intestinal stem cells (ISCs)	"Lgr5, Olfm4"				Tissues	Intestines	Normal	29950724	4	Nature	42.78	"Notably, GACs did not express the Lgr5_GFP reporter (Fig.1a, Extended Data Fig.1b), whereas crypts not associated with granulomas still expressed Lgr5_GFP (Fig.1a). Olfm4, another marker of intestinal stem cells (ISCs), was similarly repressed (Fig.1d). In addition to loss of Lgr5 and Olfm4 expression, the Paneth cell marker MMP7 frequently co-stained with the goblet cell marker MUC2 (Extended Data Fig.1c, d), as previously observed in helminth infections6 and other perturbations of epithelial lineage commitment7"	Parasitic helminths induce fetal-like reversion in the intestinal stem cell niche	Nusse	2018.7	
1489	Mouse	Paneth cells	MMP7				Tissues	Intestines	Normal	29950724	4	Nature	42.78	"Notably, GACs did not express the Lgr5_GFP reporter (Fig.1a, Extended Data Fig.1b), whereas crypts not associated with granulomas still expressed Lgr5_GFP (Fig.1a). Olfm4, another marker of intestinal stem cells (ISCs), was similarly repressed (Fig.1d). In addition to loss of Lgr5 and Olfm4 expression, the Paneth cell marker MMP7 frequently co-stained with the goblet cell marker MUC2 (Extended Data Fig.1c, d), as previously observed in helminth infections6 and other perturbations of epithelial lineage commitment7"	Parasitic helminths induce fetal-like reversion in the intestinal stem cell niche	Nusse	2018.7	
1490	Mouse	Goblet cells	MUC2				Tissues	Intestines	Normal	29950724	4	Nature	42.78	"Notably, GACs did not express the Lgr5_GFP reporter (Fig.1a, Extended Data Fig.1b), whereas crypts not associated with granulomas still expressed Lgr5_GFP (Fig.1a). Olfm4, another marker of intestinal stem cells (ISCs), was similarly repressed (Fig.1d). In addition to loss of Lgr5 and Olfm4 expression, the Paneth cell marker MMP7 frequently co-stained with the goblet cell marker MUC2 (Extended Data Fig.1c, d), as previously observed in helminth infections6 and other perturbations of epithelial lineage commitment7"	Parasitic helminths induce fetal-like reversion in the intestinal stem cell niche	Nusse	2018.7	
1491	Mouse	Crypt cells	Ly6a				Tissues	Intestines	Normal	29950724	4	Nature	42.78	"One of the most highly upregulated genes was Ly6a, which encodes Sca-1, a surface protein that is associated with proliferative cells but is not present in Humans. Therefore, Sca-1 was a useful marker of crypt cells responding to H. polygyrus-driven epithelial disruption."	Parasitic helminths induce fetal-like reversion in the intestinal stem cell niche	Nusse	2018.7	
1528	Mouse	Dendritic cells	"DR, CD11c, CD1c"	"HLA, CD16 "				Ascites	Ovarian cancer	29967419	16	Nat Commun.	12.12	"We purified ascites DCs (gated as HLADR+CD11c+CD1c+CD16_), ascites macrophages (gated as HLA-DR+CD11c+CD1c_CD16+) and, for comparison, tonsil cDCs (gated as HLA-DR+CD11c+CD14_), and analyzed singlecell transcriptomes using a droplet-based method enabling 3′mRNA counting14."	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1529	Mouse	Macrophages	"DR, CD11c, CD16"	"HLA, CD1c"				Ascites	Ovarian cancer	29967419	16	Nat Commun.	12.12	"We purified ascites DCs (gated as HLADR+CD11c+CD1c+CD16_), ascites macrophages (gated as HLA-DR+CD11c+CD1c_CD16+) and, for comparison, tonsil cDCs (gated as HLA-DR+CD11c+CD14_), and analyzed singlecell transcriptomes using a droplet-based method enabling 3′mRNA counting14."	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1530	Mouse	conventional Dendritic cells	"HLA-DR, CD11c"	CD14				Tonsils	Ovarian cancer	29967419	16	Nat Commun.	12.12	"We purified ascites DCs (gated as HLADR+CD11c+CD1c+CD16_), ascites macrophages (gated as HLA-DR+CD11c+CD1c_CD16+) and, for comparison, tonsil cDCs (gated as HLA-DR+CD11c+CD14_), and analyzed singlecell transcriptomes using a droplet-based method enabling 3′mRNA counting14."	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1531	Mouse	Monocytes	"CTSS, FCN1, S100A9, LYZ, VCAN."					Tonsils & Ascites	Ovarian cancer	29967419	16	Nat Commun.	12.12	"Cluster 1 displayed high expression of monocyte genes such as CTSS, FCN1, S100A9, LYZ, VCAN. Clusters 2 and 3 shared high expression of macrophage genes such as LGMN, CTSB, CD14, APOE, C1QB, MARCO, CD163, FCGR3A."	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1532	Mouse	Macrophages	"LGMN, CTSB, CD14, APOE, C1QB, MARCO, CD163, FCGR3A."					Tonsils & Ascites	Ovarian cancer	29967419	16	Nat Commun.	12.12	"Cluster 1 displayed high expression of monocyte genes such as CTSS, FCN1, S100A9, LYZ, VCAN. Clusters 2 and 3 shared high expression of macrophage genes such as LGMN, CTSB, CD14, APOE, C1QB, MARCO, CD163, FCGR3A."	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1533	Mouse	Monocytes/Macrophages	"FCN1, S100A9, VCAN, S100A8, MAFB"					Tonsils & Ascites	Ovarian cancer	29967419	16	Nat Commun.	12.12	"Cluster 4 expressed high levels of monocyte and macrophage-related genes such as FCN1, S100A9, VCAN, S100A8, MAFB"	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1534	Mouse	Monocytes/Dendritic cells	"FCN1, S100A9, VCAN, FCGR1A, FCGR1B, CD1C, FCER1A, IFITM2, CLEC10A, FCGR2B."					Ascites	Ovarian cancer	29967419	16	Nat Commun.	12.12	"Clusters 5 and 6 expressed monocyterelated genes such as FCN1, S100A9, VCAN, FCGR1A, FCGR1B, as well as DC genes including CD1C, FCER1A, IFITM2, CLEC10A, FCGR2B."	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1535	Mouse	Monocytes/Dendritic cells	"FCN1, S100A9, VCAN, FCGR1A, FCGR1B, CD1C, FCER1A, IFITM2, CLEC10A, FCGR2B."					Ascites	Ovarian cancer	29967419	16	Nat Commun.	12.12	"Clusters 5 and 6 expressed monocyterelated genes such as FCN1, S100A9, VCAN, FCGR1A, FCGR1B, as well as DC genes including CD1C, FCER1A, IFITM2, CLEC10A, FCGR2B."	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1536	Mouse	activated Dendritic cells	"CCR7, LAMP3, CCL19, MARCKSL1, CD83, IDO1."					Ascites	Ovarian cancer	29967419	16	Nat Commun.	12.12	"Clusters 7 and 8 showed high expression of DC activation genes CCR7, LAMP3, CCL19, MARCKSL1, CD83, IDO1."	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1537	Mouse	conventional Dendritic cells (cDC2)	"CD1C, FCER1A, CLEC10A."					Tonsils	Ovarian cancer	29967419	16	Nat Commun.	12.12	"Cluster 9 expressed cDC2 hallmark genes CD1C, FCER1A, CLEC10A."	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1538	Mouse	Macrophages	"LGMN, CTSB, CD14, APOE, MARCO, CD163, FCGR3A, S100A8, MAFB."					Tonsils	Ovarian cancer	29967419	16	Nat Commun.	12.12	"Cluster 10 displayed high expression ofmacrophage genes LGMN, CTSB, CD14, APOE, MARCO, CD163, FCGR3A, S100A8, MAFB."	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1539	Mouse	conventional Dendritic cells (cDC1)	"RAB32, CLEC9A, IRF8, C1orf54, IDO1."					Tonsils	Ovarian cancer	29967419	16	Nat Commun.	12.12	"Cluster 11 showed high expression of cDC1 genes such as RAB32, CLEC9A, IRF8, C1orf54, IDO1."	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1540	Mouse	Progenitors/cDC development	"LTB, PRDM16, LST1, RUNX3, CD164."					Tonsils	Ovarian cancer	29967419	16	Nat Commun.	12.12	Cluster 12 had high expression of genes expressed on progenitors or related to cDC development such as	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1541	Mouse	Cell cycling cells 	"PCLAF, STMN1, MKI67, TOP2A, CDK1."					Tonsils & Ascites	Ovarian cancer	29967419	16	Nat Commun.	12.12	"cluster 13 showed high levels of cell cycle genes including PCLAF, STMN1, MKI67, TOP2A, CDK1."	Human in vivo-generated monocyte-derived dendritic cells and macrophages cross-present antigens through a vacuolar pathway	Tang-Huau	2018.7	
1584	Mouse	Spermatogonia and germ cell	"Plzf, Sall4, Vasa"				Tissues	Testis	Transgenic mice (Plzf-mC/CreER)	30026551	3	Nat Commun	12.12	dviSNE maps from single cell analysis of c. Spermatogonial and germ cell markers are in left panels. Middle panels show stem cell markers not identified as differentially expressed in Oct4-GFP_ and GFP+ Aundiff fractions by microarray. Differentiation markers are in right panels.	Identification of dynamic undifferentiated cell states within the male germline	Hue M La	2018.7	GSE107256
1585	Mouse	Stem cells	"Bcl6b, Id4, Pax7"				Tissues	Testis	Transgenic mice (Plzf-mC/CreER)	30026551	3	Nat Commun	12.12	dviSNE maps from single cell analysis of c. Spermatogonial and germ cell markers are in left panels. Middle panels show stem cell markers not identified as differentially expressed in Oct4-GFP_ and GFP+ Aundiff fractions by microarray. Differentiation markers are in right panels.	Identification of dynamic undifferentiated cell states within the male germline	Hue M La	2018.7	GSE107256
1586	Mouse	Differentiated cells	"Kit, Stra8"				Tissues	Testis	Transgenic mice (Plzf-mC/CreER)	30026551	3	Nat Commun	12.12	dviSNE maps from single cell analysis of c. Spermatogonial and germ cell markers are in left panels. Middle panels show stem cell markers not identified as differentially expressed in Oct4-GFP_ and GFP+ Aundiff fractions by microarray. Differentiation markers are in right panels.	Identification of dynamic undifferentiated cell states within the male germline	Hue M La	2018.7	GSE107256
1610	Mouse	Retinal ganglion cells			Sub1	"Bco2, Mmp2"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1611	Mouse	Retinal ganglion cells			Sub2	"Fmo1, lhx9"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1612	Mouse	Retinal ganglion cells			Sub3	Fst	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1613	Mouse	Retinal ganglion cells			Sub4	"Kcns1, Mmp14, Cys1, Tusc5"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1614	Mouse	Retinal ganglion cells			Sub5	"Egln3, Sostdc1"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1615	Mouse	Retinal ganglion cells			Sub6	"Cav1, Pdlim5, Chrdl1"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1616	Mouse	Retinal ganglion cells			Sub7	Pde1a	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1617	Mouse	Retinal ganglion cells			Sub8	"Wisp1, Tg, Cgh9, C1ql2"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1618	Mouse	Retinal ganglion cells			Sub9	"Pip5k1b, Slc7a11"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1619	Mouse	Retinal ganglion cells			Sub10	Pkib	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1620	Mouse	Retinal ganglion cells			Sub11	"Prps2, Stxbp6, Tpbgl"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1621	Mouse	Retinal ganglion cells			Sub12	"Adgrl2, Arhgap31"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1622	Mouse	Retinal ganglion cells			Sub13	"Col12a1, Amigo2"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1623	Mouse	Retinal ganglion cells			Sub14	Jam2	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1624	Mouse	Retinal ganglion cells			Sub15	"Bend4, Wnt11, Cmbl"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1625	Mouse	Retinal ganglion cells			Sub16	Creb3l2	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1626	Mouse	Retinal ganglion cells			Sub17	Nek7	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1627	Mouse	Retinal ganglion cells			Sub18	"Gm13111, Adam7"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1628	Mouse	Retinal ganglion cells			Sub19	"Uts2b, Esrrb, Anxa11, Lims2, AdamtS5"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1629	Mouse	Retinal ganglion cells			Sub20	"Kcng1, Arghef26, Vcan, Kcns3"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1630	Mouse	Retinal ganglion cells			Sub21	"Serpinb12, Fes, Gpx6, NetO1"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1631	Mouse	Retinal ganglion cells			Sub22	"Krt81, Tgfb3, Fgd2, Nab2"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1632	Mouse	Retinal ganglion cells			Sub23	"Adora2a, Chrnb4, Adgrg6, Tiparp"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1633	Mouse	Retinal ganglion cells			Sub24	"Prox1, Prox1os, Cha1, Runx2"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1634	Mouse	Retinal ganglion cells			Sub25	Gna14	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1635	Mouse	Retinal ganglion cells			Sub26	Eya2	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1636	Mouse	Retinal ganglion cells			Sub27	Runx1	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1637	Mouse	Retinal ganglion cells			Sub28	"Plpp3, Nfia, Gas1"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1638	Mouse	Retinal ganglion cells			Sub29	Fam19A4	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1639	Mouse	Retinal ganglion cells			Sub30	Vit	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1640	Mouse	Retinal ganglion cells			Sub31	Trhr	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1641	Mouse	Retinal ganglion cells			Sub32	Npy	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1642	Mouse	Retinal ganglion cells			Sub33	"Mybpc3, Guca1b, Tff3, Il1rapl2"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1643	Mouse	Retinal ganglion cells			Sub34	Zic1	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1644	Mouse	Retinal ganglion cells			Sub35	"Ptpn22, Gm26612, Itgb5, Ttn"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1645	Mouse	Retinal ganglion cells			Sub36	"Frk, Tnfrsf11b, Hs3st3b1"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1646	Mouse	Retinal ganglion cells			Sub37	"Sntn, GM11100, Etnppl, Stra6"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1647	Mouse	Retinal ganglion cells			Sub38	Erbb4	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
1648	Mouse	Retinal ganglion cells			Sub39	"Crisp1, GM2115, Tnc, Crh, Rph3al"	Tissues	Eyes	Normal	30018341	39	Nat Commun	12.12	Fig. 4 Heatmap signatures of genes enriched in RGC subtypes. 	Single cell transcriptome profiling of retinal ganglion cells identifies cellular subtypes	Bruce A Rheaume	2018.7	GSE115404
